"","GTEX.117XS.0526.SM.5987Q","GTEX.11DXY.0426.SM.5H12R","GTEX.11EQ8.0826.SM.5N9FG","GTEX.11EQ9.0626.SM.5A5K1","GTEX.11GSO.0626.SM.5A5LW","GTEX.1211K.0726.SM.5FQUW","GTEX.131XF.1826.SM.5EGKG","GTEX.131YS.0726.SM.5P9G9","GTEX.132NY.1026.SM.5P9IY","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.R55E.0826.SM.2TC5M","GTEX.TKQ1.0126.SM.33HB3","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFCO.0326.SM.4W1ZP","GTEX.ZE7O.1126.SM.57WC8","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000134940",2,2,3,3,0,4,4,9,0,10,0,0,6,3,0,5,3,2,5,0
"ENSG00000171053",0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000196844",2,4,1,2,2,0,2,4,0,0,0,1,3,2,0,0,0,0,0,0
"ENSG00000236027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237353",0,0,7,0,2,1,1,3,12,2,0,0,0,4,0,2,1,0,1,0
"ENSG00000260209",5,10,2,10,7,0,2,15,16,5,4,5,16,3,2,3,6,0,2,1
"ENSG00000198331",71,126,343,264,95,100,131,179,124,158,141,178,248,162,194,372,133,247,241,138
"ENSG00000110060",230,316,945,617,464,465,361,469,434,429,460,392,851,576,779,627,366,637,486,423
"ENSG00000255027",14,11,1,4,0,5,4,12,21,6,0,6,20,9,0,7,11,11,1,5
"ENSG00000109832",262,189,202,183,117,276,154,369,398,150,153,201,271,129,195,262,96,187,175,188
"ENSG00000263906",19,24,13,12,0,24,23,60,51,9,16,16,29,12,4,24,16,4,7,16
"ENSG00000255124",2,2,1,3,0,1,0,0,1,0,0,0,2,2,0,0,0,0,0,2
"ENSG00000254790",0,0,0,0,0,2,0,0,0,0,0,0,2,5,0,0,0,4,0,0
"ENSG00000254967",0,5,1,12,2,3,2,2,5,3,0,0,0,1,2,3,1,6,5,6
"ENSG00000064309",4629,3135,2406,6309,6957,7472,2394,4109,4886,3557,3273,3828,8717,3432,3964,3934,3091,5252,4383,5444
"ENSG00000254759",30,13,21,9,20,10,4,24,38,15,21,36,19,21,12,25,15,9,19,6
"ENSG00000261257",4,1,2,2,12,18,0,4,3,4,2,6,5,6,5,2,0,2,6,2
"ENSG00000254833",4,2,4,1,5,6,0,5,8,2,2,3,6,1,5,1,3,2,0,5
"ENSG00000254771",2,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,3
"ENSG00000165526",658,776,1471,1588,1216,1109,820,1690,1269,1108,1148,817,2008,1392,1351,1391,827,1441,1145,1161
"ENSG00000254694",5,11,1,9,2,10,21,21,15,12,18,1,35,7,3,5,8,15,5,11
"ENSG00000197798",506,815,950,936,548,780,584,688,734,749,623,616,1180,891,892,1067,497,1153,987,762
"ENSG00000222067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240098",0,0,1,0,0,1,1,0,2,0,2,0,0,2,0,0,1,0,0,0
"ENSG00000182934",6439,11920,4964,13363,8540,12065,7594,11415,13790,11500,9337,8292,17670,10621,12735,14407,6132,14545,10495,13890
"ENSG00000110074",742,1032,958,1279,711,742,741,1381,1635,1446,677,808,1634,1463,1712,2428,640,1331,1173,1200
"ENSG00000243607",0,0,0,1,3,0,3,3,4,1,3,0,4,8,1,7,0,1,1,2
"ENSG00000238855",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSG00000150455",98,235,179,361,288,216,190,311,212,283,189,254,412,236,283,327,185,287,221,244
"ENSG00000254905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255062",10,17,7,16,16,6,13,12,16,16,17,9,28,18,21,27,18,17,17,7
"ENSG00000110063",362,549,362,663,466,404,399,792,659,634,354,409,822,742,807,835,408,802,722,402
"ENSG00000110080",1643,2061,1240,1863,359,535,744,1145,1040,906,869,1511,1307,1662,1452,1755,1374,1761,1628,1294
"ENSG00000149571",63,56,11,27,1,6,14,62,30,31,58,19,24,76,55,1,55,21,39,14
"ENSG00000257271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254607",0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2
"ENSG00000254938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000254960",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000266215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000218109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000255087",0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0
"ENSG00000272981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272642",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000273409",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
