"","GTEX.111VG.0526.SM.5N9BW","GTEX.117XS.0526.SM.5987Q","GTEX.11GSO.0626.SM.5A5LW","GTEX.11NV4.0626.SM.5N9BR","GTEX.132NY.1026.SM.5P9IY","GTEX.13NZ9.1126.SM.5MR37","GTEX.13O21.2226.SM.5MR3L","GTEX.13O3P.0726.SM.5J2OM","GTEX.14ABY.0926.SM.5Q5DY","GTEX.14AS3.0226.SM.5Q5B6","GTEX.14BMU.0226.SM.5S2QA","GTEX.PLZ4.1226.SM.2I5FE","GTEX.R55G.0726.SM.2TC6J","GTEX.WOFL.0726.SM.3MJG4","GTEX.WYBS.1926.SM.3NM8N","GTEX.YFC4.2626.SM.5P9FQ","GTEX.ZLWG.0526.SM.4WWFB","GTEX.ZPCL.0126.SM.4WWC8","GTEX.ZYY3.1926.SM.5GZXS","GTEX.ZZ64.0126.SM.5GZXA"
"ENSG00000259415",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000136383",833,1347,1198,1017,1637,2172,2449,3025,1884,1096,1423,2390,428,3379,2699,1608,2759,1538,1079,2419
"ENSG00000200991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000156222",3,1,0,21,0,10,0,1,5,8,18,10,0,4,0,20,5,4,1,6
"ENSG00000207037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000212388",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271044",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000073417",2688,1727,1695,2556,3132,2452,2212,2623,2907,2184,1434,2591,644,3855,3291,3311,2572,1975,2192,2337
"ENSG00000259270",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"ENSG00000259449",2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000259295",43,20,15,23,27,41,35,35,28,28,21,42,14,24,22,40,18,19,26,25
"ENSG00000229212",44,36,61,76,116,48,65,71,71,49,46,61,23,40,134,109,103,87,37,26
"ENSG00000188388",17,36,21,13,17,53,26,88,81,3,22,47,14,1,24,93,6,29,64,109
"ENSG00000218052",11,16,0,134,0,74,7,12,20,41,74,28,40,4,2,158,7,33,46,8
"ENSG00000259317",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0
"ENSG00000170776",8529,12328,20039,8850,8714,12326,14402,18182,10793,6635,13036,22413,4663,12205,12248,15746,18592,14472,9386,21478
"ENSG00000251891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000259630",43,49,3,86,9,38,7,57,12,9,22,20,2,38,30,40,5,3,16,5
"ENSG00000259367",3,0,2,0,0,6,2,10,1,3,1,10,3,6,3,1,0,4,2,10
"ENSG00000259276",1,3,0,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,5,6
"ENSG00000202081",2,2,4,3,0,1,1,1,0,0,1,4,1,0,1,1,0,1,2,3
"ENSG00000259453",7,5,1,7,7,6,5,20,1,2,2,9,2,20,10,8,12,9,4,7
"ENSG00000259544",10,13,4,15,9,9,10,24,5,5,6,15,2,12,8,10,3,4,3,12
"ENSG00000259407",30,84,6,15,11,44,35,88,34,24,40,55,19,50,8,85,33,20,41,100
"ENSG00000259762",10,7,2,19,8,20,10,39,1,17,0,14,6,21,2,27,1,6,9,6
"ENSG00000259416",16,14,9,9,14,18,6,53,1,15,5,17,4,22,7,32,4,13,6,8
"ENSG00000183655",421,428,491,505,345,633,372,648,223,282,385,365,163,841,651,735,779,682,369,602
